,value,unit,serialNumber
2020-10-13 11:59:38+00:00,16,%,00158D000192D255
2020-10-13 12:00:23+00:00,16,%,00158D000192D255
2020-10-13 12:04:20+00:00,22,%,00158D000192D255
2020-10-13 12:15:23+00:00,22,%,00158D000192D255
2020-10-13 12:30:23+00:00,22,%,00158D000192D255
2020-10-13 12:42:34+00:00,18,%,00158D000192D255
2020-10-13 12:45:23+00:00,18,%,00158D000192D255
2020-10-13 12:54:45+00:00,22,%,00158D000192D255
2020-10-13 13:00:23+00:00,22,%,00158D000192D255
2020-10-13 13:02:40+00:00,22,%,00158D000192D255
2020-10-13 13:04:53+00:00,22,%,00158D000192D255
2020-10-13 13:06:38+00:00,22,%,00158D000192D255
2020-10-13 13:08:49+00:00,19,%,00158D000192D255
2020-10-13 13:09:24+00:00,19,%,00158D000192D255
2020-10-13 13:20:54+00:00,15,%,00158D000192D255
2020-10-13 13:24:24+00:00,15,%,00158D000192D255
2020-10-13 13:29:46+00:00,15,%,00158D000192D255
2020-10-13 13:30:32+00:00,15,%,00158D000192D255
2020-10-13 13:33:46+00:00,15,%,00158D000192D255
2020-10-13 13:35:04+00:00,19,%,00158D000192D255
2020-10-13 13:48:46+00:00,19,%,00158D000192D255
2020-10-13 13:49:09+00:00,19,%,00158D000192D255
2020-10-13 13:55:14+00:00,25,%,00158D000192D255
2020-10-13 13:56:29+00:00,25,%,00158D000192D255
2020-10-13 13:57:13+00:00,25,%,00158D000192D255
2020-10-13 14:03:16+00:00,22,%,00158D000192D255
2020-10-13 14:09:18+00:00,18,%,00158D000192D255
2020-10-13 14:12:13+00:00,18,%,00158D000192D255
2020-10-13 14:15:20+00:00,15,%,00158D000192D255
2020-10-13 14:27:13+00:00,15,%,00158D000192D255
2020-10-13 14:29:30+00:00,11,%,00158D000192D255
2020-10-13 14:42:13+00:00,11,%,00158D000192D255
2020-10-13 14:47:36+00:00,16,%,00158D000192D255
2020-10-13 14:57:13+00:00,16,%,00158D000192D255
2020-10-13 15:03:48+00:00,22,%,00158D000192D255
2020-10-13 15:12:13+00:00,22,%,00158D000192D255
2020-10-13 15:27:13+00:00,22,%,00158D000192D255
2020-10-13 15:27:59+00:00,18,%,00158D000192D255
2020-10-13 15:30:48+00:00,0,%,00158D000192D255
2020-10-13 15:42:13+00:00,0,%,00158D000192D255
2020-10-13 15:57:13+00:00,0,%,00158D000192D255
2020-10-13 16:12:13+00:00,0,%,00158D000192D255
2020-10-13 16:27:13+00:00,0,%,00158D000192D255
2020-10-13 16:42:13+00:00,0,%,00158D000192D255
2020-10-13 16:57:13+00:00,0,%,00158D000192D255
2020-10-13 17:12:13+00:00,0,%,00158D000192D255
2020-10-13 17:27:13+00:00,0,%,00158D000192D255
2020-10-13 17:42:13+00:00,0,%,00158D000192D255
2020-10-13 17:57:13+00:00,0,%,00158D000192D255
2020-10-13 18:12:13+00:00,0,%,00158D000192D255
2020-10-13 18:27:13+00:00,0,%,00158D000192D255
