,value,unit,serialNumber
2020-03-06 02:21:16+00:00,19,C,00158D000192D255
2020-03-06 02:36:16+00:00,19,C,00158D000192D255
2020-03-06 02:51:16+00:00,19,C,00158D000192D255
2020-03-06 03:06:16+00:00,19,C,00158D000192D255
2020-03-06 03:21:16+00:00,19,C,00158D000192D255
2020-03-06 03:36:16+00:00,19,C,00158D000192D255
2020-03-06 03:51:16+00:00,19,C,00158D000192D255
2020-03-06 04:06:16+00:00,19,C,00158D000192D255
2020-03-06 04:21:16+00:00,19,C,00158D000192D255
2020-03-06 04:36:16+00:00,19,C,00158D000192D255
2020-03-06 04:51:16+00:00,19,C,00158D000192D255
2020-03-06 05:06:16+00:00,19,C,00158D000192D255
2020-03-06 05:21:16+00:00,19,C,00158D000192D255
2020-03-06 05:36:16+00:00,19,C,00158D000192D255
2020-03-06 05:51:16+00:00,19,C,00158D000192D255
2020-03-06 06:00:22+00:00,22,C,00158D000192D255
2020-03-06 06:06:16+00:00,22,C,00158D000192D255
2020-03-06 06:21:16+00:00,22,C,00158D000192D255
2020-03-06 06:36:16+00:00,22,C,00158D000192D255
2020-03-06 06:51:16+00:00,22,C,00158D000192D255
2020-03-06 07:06:16+00:00,22,C,00158D000192D255
2020-03-06 07:21:16+00:00,22,C,00158D000192D255
2020-03-06 07:36:16+00:00,22,C,00158D000192D255
2020-03-06 07:51:16+00:00,22,C,00158D000192D255
2020-03-06 08:06:16+00:00,22,C,00158D000192D255
2020-03-06 08:21:16+00:00,22,C,00158D000192D255
2020-03-06 08:36:16+00:00,22,C,00158D000192D255
2020-03-06 08:51:16+00:00,22,C,00158D000192D255
2020-03-06 09:06:16+00:00,22,C,00158D000192D255
2020-03-06 09:21:16+00:00,22,C,00158D000192D255
2020-03-06 09:36:16+00:00,22,C,00158D000192D255
2020-03-06 09:51:16+00:00,22,C,00158D000192D255
2020-03-06 10:06:16+00:00,22,C,00158D000192D255
2020-03-06 10:21:16+00:00,22,C,00158D000192D255
2020-03-06 10:36:16+00:00,22,C,00158D000192D255
2020-03-06 10:51:16+00:00,22,C,00158D000192D255
2020-03-06 11:06:16+00:00,22,C,00158D000192D255
2020-03-06 11:21:16+00:00,22,C,00158D000192D255
2020-03-06 11:36:16+00:00,22,C,00158D000192D255
2020-03-06 11:51:16+00:00,22,C,00158D000192D255
2020-03-06 12:06:16+00:00,22,C,00158D000192D255
2020-03-06 12:21:16+00:00,22,C,00158D000192D255
2020-03-06 12:36:16+00:00,22,C,00158D000192D255
2020-03-06 12:51:16+00:00,22,C,00158D000192D255
2020-03-06 13:06:16+00:00,22,C,00158D000192D255
2020-03-06 13:21:16+00:00,22,C,00158D000192D255
2020-03-06 13:36:16+00:00,22,C,00158D000192D255
2020-03-06 13:51:16+00:00,22,C,00158D000192D255
2020-03-06 14:06:16+00:00,22,C,00158D000192D255
2020-03-06 14:21:16+00:00,22,C,00158D000192D255
2020-03-06 14:36:16+00:00,22,C,00158D000192D255
2020-03-06 14:51:16+00:00,22,C,00158D000192D255
2020-03-06 15:06:16+00:00,22,C,00158D000192D255
2020-03-06 15:21:16+00:00,22,C,00158D000192D255
2020-03-06 15:36:16+00:00,22,C,00158D000192D255
2020-03-06 15:51:16+00:00,22,C,00158D000192D255
2020-03-06 16:00:18+00:00,19,C,00158D000192D255
2020-03-06 16:06:16+00:00,19,C,00158D000192D255
2020-03-06 16:21:16+00:00,19,C,00158D000192D255
2020-03-06 16:36:16+00:00,19,C,00158D000192D255
2020-03-06 16:51:16+00:00,19,C,00158D000192D255
2020-03-06 17:06:16+00:00,19,C,00158D000192D255
2020-03-06 17:21:16+00:00,19,C,00158D000192D255
2020-03-06 17:36:16+00:00,19,C,00158D000192D255
2020-03-06 17:51:16+00:00,19,C,00158D000192D255
2020-03-06 18:06:16+00:00,19,C,00158D000192D255
2020-03-06 18:21:16+00:00,19,C,00158D000192D255
2020-03-06 18:36:16+00:00,19,C,00158D000192D255
2020-03-06 18:51:16+00:00,19,C,00158D000192D255
2020-03-06 19:06:16+00:00,19,C,00158D000192D255
2020-03-06 19:21:16+00:00,19,C,00158D000192D255
2020-03-06 19:36:16+00:00,19,C,00158D000192D255
2020-03-06 19:51:16+00:00,19,C,00158D000192D255
2020-03-06 19:52:26+00:00,19,C,00158D000192D255
2020-03-06 20:07:26+00:00,19,C,00158D000192D255
2020-03-06 20:22:26+00:00,19,C,00158D000192D255
2020-03-06 20:37:26+00:00,19,C,00158D000192D255
2020-03-06 20:52:26+00:00,19,C,00158D000192D255
2020-03-06 21:07:26+00:00,19,C,00158D000192D255
2020-03-06 21:22:26+00:00,19,C,00158D000192D255
2020-03-06 21:37:26+00:00,19,C,00158D000192D255
2020-03-06 21:52:26+00:00,19,C,00158D000192D255
2020-03-06 22:07:26+00:00,19,C,00158D000192D255
2020-03-06 22:22:26+00:00,19,C,00158D000192D255
2020-03-06 22:37:26+00:00,19,C,00158D000192D255
2020-03-06 22:52:26+00:00,19,C,00158D000192D255
2020-03-06 23:07:26+00:00,19,C,00158D000192D255
2020-03-06 23:22:26+00:00,19,C,00158D000192D255
2020-03-06 23:37:26+00:00,19,C,00158D000192D255
2020-03-06 23:52:26+00:00,19,C,00158D000192D255
2020-03-07 00:07:26+00:00,19,C,00158D000192D255
2020-03-07 00:15:59+00:00,19,C,00158D000192D255
2020-03-07 00:30:59+00:00,19,C,00158D000192D255
2020-03-07 00:45:59+00:00,19,C,00158D000192D255
2020-03-07 01:00:59+00:00,19,C,00158D000192D255
2020-03-07 01:15:59+00:00,19,C,00158D000192D255
2020-03-07 01:30:59+00:00,19,C,00158D000192D255
2020-03-07 01:45:59+00:00,19,C,00158D000192D255
2020-03-07 02:00:59+00:00,19,C,00158D000192D255
2020-03-07 02:15:59+00:00,19,C,00158D000192D255
2020-03-07 02:30:59+00:00,19,C,00158D000192D255
2020-03-07 02:45:59+00:00,19,C,00158D000192D255
2020-03-07 03:00:59+00:00,19,C,00158D000192D255
2020-03-07 03:15:59+00:00,19,C,00158D000192D255
2020-03-07 03:30:59+00:00,19,C,00158D000192D255
2020-03-07 03:45:59+00:00,19,C,00158D000192D255
2020-03-07 04:00:59+00:00,19,C,00158D000192D255
2020-03-07 04:15:59+00:00,19,C,00158D000192D255
2020-03-07 04:30:59+00:00,19,C,00158D000192D255
2020-03-07 04:45:59+00:00,19,C,00158D000192D255
2020-03-07 05:00:59+00:00,19,C,00158D000192D255
2020-03-07 05:15:59+00:00,19,C,00158D000192D255
2020-03-07 05:30:59+00:00,19,C,00158D000192D255
2020-03-07 05:45:59+00:00,19,C,00158D000192D255
2020-03-07 06:00:59+00:00,19,C,00158D000192D255
2020-03-07 06:15:59+00:00,19,C,00158D000192D255
2020-03-07 06:30:59+00:00,19,C,00158D000192D255
2020-03-07 06:45:59+00:00,19,C,00158D000192D255
2020-03-07 07:00:59+00:00,19,C,00158D000192D255
2020-03-07 07:15:59+00:00,19,C,00158D000192D255
2020-03-07 07:30:59+00:00,19,C,00158D000192D255
2020-03-07 07:45:59+00:00,19,C,00158D000192D255
2020-03-07 08:00:59+00:00,19,C,00158D000192D255
2020-03-07 08:15:59+00:00,19,C,00158D000192D255
2020-03-07 08:30:59+00:00,19,C,00158D000192D255
2020-03-07 08:45:59+00:00,19,C,00158D000192D255
2020-03-07 09:00:59+00:00,19,C,00158D000192D255
2020-03-07 09:15:59+00:00,19,C,00158D000192D255
2020-03-07 09:30:59+00:00,19,C,00158D000192D255
2020-03-07 09:45:59+00:00,19,C,00158D000192D255
2020-03-07 10:00:59+00:00,19,C,00158D000192D255
2020-03-07 10:15:59+00:00,19,C,00158D000192D255
2020-03-07 10:30:59+00:00,19,C,00158D000192D255
2020-03-07 10:45:59+00:00,19,C,00158D000192D255
2020-03-07 11:00:59+00:00,19,C,00158D000192D255
2020-03-07 11:15:59+00:00,19,C,00158D000192D255
2020-03-07 11:30:59+00:00,19,C,00158D000192D255
2020-03-07 11:45:59+00:00,19,C,00158D000192D255
2020-03-07 12:00:59+00:00,19,C,00158D000192D255
2020-03-07 12:15:59+00:00,19,C,00158D000192D255
2020-03-07 12:30:59+00:00,19,C,00158D000192D255
2020-03-07 12:45:59+00:00,19,C,00158D000192D255
2020-03-07 13:00:59+00:00,19,C,00158D000192D255
2020-03-07 13:15:59+00:00,19,C,00158D000192D255
2020-03-07 13:30:59+00:00,19,C,00158D000192D255
2020-03-07 13:45:59+00:00,19,C,00158D000192D255
2020-03-07 14:00:59+00:00,19,C,00158D000192D255
2020-03-07 14:15:59+00:00,19,C,00158D000192D255
2020-03-07 14:30:59+00:00,19,C,00158D000192D255
2020-03-07 14:45:59+00:00,19,C,00158D000192D255
2020-03-07 15:00:59+00:00,19,C,00158D000192D255
2020-03-07 15:15:59+00:00,19,C,00158D000192D255
2020-03-07 15:30:59+00:00,19,C,00158D000192D255
2020-03-07 15:45:59+00:00,19,C,00158D000192D255
