,value,unit,serialNumber
2020-03-05 00:05:04+00:00,35,%,00158D000192D255
2020-03-05 00:09:48+00:00,39,%,00158D000192D255
2020-03-05 00:20:04+00:00,39,%,00158D000192D255
2020-03-05 00:29:58+00:00,43,%,00158D000192D255
2020-03-05 00:35:04+00:00,43,%,00158D000192D255
2020-03-05 00:50:04+00:00,43,%,00158D000192D255
2020-03-05 00:58:11+00:00,48,%,00158D000192D255
2020-03-05 01:05:04+00:00,48,%,00158D000192D255
2020-03-05 01:20:04+00:00,48,%,00158D000192D255
2020-03-05 01:34:29+00:00,55,%,00158D000192D255
2020-03-05 01:35:04+00:00,55,%,00158D000192D255
2020-03-05 01:50:04+00:00,55,%,00158D000192D255
2020-03-05 02:02:44+00:00,61,%,00158D000192D255
2020-03-05 02:05:04+00:00,61,%,00158D000192D255
2020-03-05 02:20:04+00:00,61,%,00158D000192D255
2020-03-05 02:35:00+00:00,66,%,00158D000192D255
2020-03-05 02:35:04+00:00,66,%,00158D000192D255
2020-03-05 02:50:04+00:00,66,%,00158D000192D255
2020-03-05 02:53:05+00:00,71,%,00158D000192D255
2020-03-05 03:05:04+00:00,71,%,00158D000192D255
2020-03-05 03:15:15+00:00,76,%,00158D000192D255
2020-03-05 03:20:04+00:00,76,%,00158D000192D255
2020-03-05 03:35:04+00:00,76,%,00158D000192D255
2020-03-05 03:41:28+00:00,81,%,00158D000192D255
2020-03-05 03:50:04+00:00,81,%,00158D000192D255
2020-03-05 03:59:41+00:00,85,%,00158D000192D255
2020-03-05 04:03:43+00:00,82,%,00158D000192D255
2020-03-05 04:05:04+00:00,82,%,00158D000192D255
2020-03-05 04:11:45+00:00,77,%,00158D000192D255
2020-03-05 04:15:47+00:00,71,%,00158D000192D255
2020-03-05 04:19:48+00:00,66,%,00158D000192D255
2020-03-05 04:20:04+00:00,66,%,00158D000192D255
2020-03-05 04:23:50+00:00,59,%,00158D000192D255
2020-03-05 04:25:51+00:00,54,%,00158D000192D255
2020-03-05 04:29:51+00:00,45,%,00158D000192D255
2020-03-05 04:33:54+00:00,38,%,00158D000192D255
2020-03-05 04:35:04+00:00,38,%,00158D000192D255
2020-03-05 04:35:54+00:00,32,%,00158D000192D255
2020-03-05 04:40:00+00:00,24,%,00158D000192D255
2020-03-05 04:42:01+00:00,20,%,00158D000192D255
2020-03-05 04:44:03+00:00,20,%,00158D000192D255
2020-03-05 04:46:03+00:00,15,%,00158D000192D255
2020-03-05 04:48:03+00:00,11,%,00158D000192D255
2020-03-05 04:50:04+00:00,11,%,00158D000192D255
2020-03-05 04:52:06+00:00,6,%,00158D000192D255
2020-03-05 04:58:08+00:00,4,%,00158D000192D255
2020-03-05 05:04:07+00:00,0,%,00158D000192D255
2020-03-05 05:05:04+00:00,0,%,00158D000192D255
2020-03-05 05:20:04+00:00,0,%,00158D000192D255
2020-03-05 05:28:22+00:00,5,%,00158D000192D255
2020-03-05 05:35:04+00:00,5,%,00158D000192D255
2020-03-05 05:40:30+00:00,10,%,00158D000192D255
2020-03-05 05:50:04+00:00,10,%,00158D000192D255
2020-03-05 05:52:35+00:00,15,%,00158D000192D255
2020-03-05 06:00:17+00:00,78,%,00158D000192D255
2020-03-05 06:05:04+00:00,78,%,00158D000192D255
2020-03-05 06:08:38+00:00,73,%,00158D000192D255
2020-03-05 06:12:40+00:00,66,%,00158D000192D255
2020-03-05 06:16:46+00:00,59,%,00158D000192D255
2020-03-05 06:20:04+00:00,59,%,00158D000192D255
2020-03-05 06:20:48+00:00,55,%,00158D000192D255
2020-03-05 06:24:49+00:00,47,%,00158D000192D255
2020-03-05 06:28:51+00:00,42,%,00158D000192D255
2020-03-05 06:32:52+00:00,35,%,00158D000192D255
2020-03-05 06:35:04+00:00,35,%,00158D000192D255
2020-03-05 06:36:54+00:00,30,%,00158D000192D255
2020-03-05 06:40:56+00:00,26,%,00158D000192D255
2020-03-05 06:44:57+00:00,22,%,00158D000192D255
2020-03-05 06:49:05+00:00,21,%,00158D000192D255
2020-03-05 06:50:04+00:00,21,%,00158D000192D255
2020-03-05 06:51:02+00:00,16,%,00158D000192D255
2020-03-05 06:57:04+00:00,12,%,00158D000192D255
2020-03-05 07:05:04+00:00,12,%,00158D000192D255
2020-03-05 07:09:12+00:00,8,%,00158D000192D255
2020-03-05 07:20:04+00:00,8,%,00158D000192D255
2020-03-05 07:27:20+00:00,14,%,00158D000192D255
2020-03-05 07:35:04+00:00,14,%,00158D000192D255
2020-03-05 07:39:41+00:00,14,%,00158D000192D255
2020-03-05 07:41:54+00:00,14,%,00158D000192D255
2020-03-05 07:45:24+00:00,20,%,00158D000192D255
2020-03-05 07:53:33+00:00,24,%,00158D000192D255
2020-03-05 07:56:54+00:00,24,%,00158D000192D255
2020-03-05 08:07:37+00:00,19,%,00158D000192D255
2020-03-05 08:08:15+00:00,19,%,00158D000192D255
2020-03-05 08:08:55+00:00,19,%,00158D000192D255
2020-03-05 08:11:38+00:00,14,%,00158D000192D255
2020-03-05 08:17:42+00:00,9,%,00158D000192D255
2020-03-05 08:23:55+00:00,9,%,00158D000192D255
2020-03-05 08:37:50+00:00,15,%,00158D000192D255
2020-03-05 08:38:55+00:00,15,%,00158D000192D255
2020-03-05 08:43:54+00:00,20,%,00158D000192D255
2020-03-05 08:49:56+00:00,25,%,00158D000192D255
2020-03-05 08:53:55+00:00,25,%,00158D000192D255
2020-03-05 08:57:59+00:00,31,%,00158D000192D255
2020-03-05 09:00:06+00:00,26,%,00158D000192D255
2020-03-05 09:08:55+00:00,26,%,00158D000192D255
2020-03-05 09:10:10+00:00,20,%,00158D000192D255
2020-03-05 09:14:10+00:00,16,%,00158D000192D255
2020-03-05 09:23:55+00:00,16,%,00158D000192D255
2020-03-05 09:26:17+00:00,23,%,00158D000192D255
2020-03-05 09:38:55+00:00,23,%,00158D000192D255
2020-03-05 09:53:55+00:00,23,%,00158D000192D255
2020-03-05 10:08:55+00:00,23,%,00158D000192D255
2020-03-05 10:23:55+00:00,23,%,00158D000192D255
2020-03-05 10:38:55+00:00,23,%,00158D000192D255
2020-03-05 10:53:55+00:00,23,%,00158D000192D255
2020-03-05 11:08:55+00:00,23,%,00158D000192D255
2020-03-05 11:11:08+00:00,18,%,00158D000192D255
2020-03-05 11:23:55+00:00,18,%,00158D000192D255
2020-03-05 11:38:55+00:00,18,%,00158D000192D255
2020-03-05 11:45:24+00:00,24,%,00158D000192D255
2020-03-05 11:53:55+00:00,24,%,00158D000192D255
2020-03-05 11:59:26+00:00,18,%,00158D000192D255
2020-03-05 12:08:55+00:00,18,%,00158D000192D255
2020-03-05 12:23:55+00:00,18,%,00158D000192D255
2020-03-05 12:29:45+00:00,24,%,00158D000192D255
2020-03-05 12:38:55+00:00,24,%,00158D000192D255
2020-03-05 12:41:47+00:00,20,%,00158D000192D255
2020-03-05 12:47:49+00:00,16,%,00158D000192D255
2020-03-05 12:53:55+00:00,16,%,00158D000192D255
2020-03-05 12:57:59+00:00,12,%,00158D000192D255
2020-03-05 13:08:55+00:00,12,%,00158D000192D255
2020-03-05 13:23:55+00:00,12,%,00158D000192D255
2020-03-05 13:26:08+00:00,18,%,00158D000192D255
2020-03-05 13:32:11+00:00,23,%,00158D000192D255
2020-03-05 13:38:55+00:00,23,%,00158D000192D255
2020-03-05 13:53:55+00:00,23,%,00158D000192D255
2020-03-05 13:54:22+00:00,18,%,00158D000192D255
2020-03-05 14:08:55+00:00,18,%,00158D000192D255
2020-03-05 14:23:55+00:00,18,%,00158D000192D255
2020-03-05 14:30:43+00:00,24,%,00158D000192D255
2020-03-05 14:38:55+00:00,24,%,00158D000192D255
2020-03-05 14:42:46+00:00,19,%,00158D000192D255
2020-03-05 14:50:54+00:00,14,%,00158D000192D255
2020-03-05 14:53:55+00:00,14,%,00158D000192D255
2020-03-05 15:08:56+00:00,14,%,00158D000192D255
2020-03-05 15:17:02+00:00,20,%,00158D000192D255
2020-03-05 15:23:56+00:00,20,%,00158D000192D255
2020-03-05 15:31:08+00:00,25,%,00158D000192D255
2020-03-05 15:38:56+00:00,25,%,00158D000192D255
2020-03-05 15:41:17+00:00,20,%,00158D000192D255
2020-03-05 15:49:21+00:00,16,%,00158D000192D255
2020-03-05 15:53:56+00:00,16,%,00158D000192D255
2020-03-05 16:00:10+00:00,0,%,00158D000192D255
2020-03-05 16:08:56+00:00,0,%,00158D000192D255
2020-03-05 16:23:56+00:00,0,%,00158D000192D255
2020-03-05 16:38:56+00:00,0,%,00158D000192D255
2020-03-05 16:53:56+00:00,0,%,00158D000192D255
2020-03-05 17:08:56+00:00,0,%,00158D000192D255
2020-03-05 17:23:56+00:00,0,%,00158D000192D255
2020-03-05 17:38:56+00:00,0,%,00158D000192D255
2020-03-05 17:53:56+00:00,0,%,00158D000192D255
2020-03-05 18:08:56+00:00,0,%,00158D000192D255
2020-03-05 18:23:56+00:00,0,%,00158D000192D255
2020-03-05 18:38:56+00:00,0,%,00158D000192D255
2020-03-05 18:53:56+00:00,0,%,00158D000192D255
2020-03-05 19:08:56+00:00,0,%,00158D000192D255
2020-03-05 19:23:56+00:00,0,%,00158D000192D255
2020-03-05 19:38:56+00:00,0,%,00158D000192D255
2020-03-05 19:53:56+00:00,0,%,00158D000192D255
2020-03-05 20:08:56+00:00,0,%,00158D000192D255
2020-03-05 20:23:56+00:00,0,%,00158D000192D255
2020-03-05 20:27:30+00:00,4,%,00158D000192D255
2020-03-05 20:38:56+00:00,4,%,00158D000192D255
2020-03-05 20:53:56+00:00,4,%,00158D000192D255
2020-03-05 20:55:43+00:00,9,%,00158D000192D255
2020-03-05 20:57:45+00:00,5,%,00158D000192D255
2020-03-05 21:03:48+00:00,9,%,00158D000192D255
2020-03-05 21:08:56+00:00,9,%,00158D000192D255
2020-03-05 21:23:56+00:00,9,%,00158D000192D255
2020-03-05 21:38:56+00:00,9,%,00158D000192D255
2020-03-05 21:42:07+00:00,14,%,00158D000192D255
2020-03-05 21:53:56+00:00,14,%,00158D000192D255
2020-03-05 22:08:56+00:00,14,%,00158D000192D255
2020-03-05 22:18:24+00:00,18,%,00158D000192D255
2020-03-05 22:23:56+00:00,18,%,00158D000192D255
2020-03-05 22:38:56+00:00,18,%,00158D000192D255
2020-03-05 22:46:37+00:00,24,%,00158D000192D255
2020-03-05 22:48:37+00:00,20,%,00158D000192D255
