,value,unit,serialNumber
2020-10-13 00:05:04+00:00,19.0,C,00158D000192D255
2020-10-13 00:20:04+00:00,19.0,C,00158D000192D255
2020-10-13 00:35:04+00:00,19.0,C,00158D000192D255
2020-10-13 00:50:04+00:00,19.0,C,00158D000192D255
2020-10-13 01:05:04+00:00,19.0,C,00158D000192D255
2020-10-13 01:20:04+00:00,19.0,C,00158D000192D255
2020-10-13 01:35:04+00:00,19.0,C,00158D000192D255
2020-10-13 01:50:04+00:00,19.0,C,00158D000192D255
2020-10-13 02:05:04+00:00,19.0,C,00158D000192D255
2020-10-13 02:20:04+00:00,19.0,C,00158D000192D255
2020-10-13 02:35:04+00:00,19.0,C,00158D000192D255
2020-10-13 02:50:04+00:00,19.0,C,00158D000192D255
2020-10-13 03:05:04+00:00,19.0,C,00158D000192D255
2020-10-13 03:20:04+00:00,19.0,C,00158D000192D255
2020-10-13 03:35:04+00:00,19.0,C,00158D000192D255
2020-10-13 03:50:04+00:00,19.0,C,00158D000192D255
2020-10-13 04:05:04+00:00,19.0,C,00158D000192D255
2020-10-13 04:20:04+00:00,19.0,C,00158D000192D255
2020-10-13 04:34:44+00:00,19.0,C,00158D000192D255
2020-10-13 04:35:30+00:00,19.0,C,00158D000192D255
2020-10-13 04:50:30+00:00,19.0,C,00158D000192D255
2020-10-13 05:05:30+00:00,19.0,C,00158D000192D255
2020-10-13 05:20:30+00:00,19.0,C,00158D000192D255
2020-10-13 05:35:30+00:00,19.0,C,00158D000192D255
2020-10-13 05:50:30+00:00,19.0,C,00158D000192D255
2020-10-13 06:05:30+00:00,19.0,C,00158D000192D255
2020-10-13 06:20:30+00:00,19.0,C,00158D000192D255
2020-10-13 06:35:30+00:00,19.0,C,00158D000192D255
2020-10-13 06:50:30+00:00,19.0,C,00158D000192D255
2020-10-13 07:05:30+00:00,19.0,C,00158D000192D255
2020-10-13 07:09:37+00:00,19.0,C,00158D000192D255
2020-10-13 07:11:23+00:00,19.0,C,00158D000192D255
2020-10-13 07:26:23+00:00,19.0,C,00158D000192D255
2020-10-13 07:41:23+00:00,19.0,C,00158D000192D255
2020-10-13 07:56:23+00:00,19.0,C,00158D000192D255
2020-10-13 08:11:23+00:00,19.0,C,00158D000192D255
2020-10-13 08:13:59+00:00,19.0,C,00158D000192D255
2020-10-13 08:16:53+00:00,19.0,C,00158D000192D255
2020-10-13 08:18:43+00:00,19.0,C,00158D000192D255
2020-10-13 08:19:55+00:00,19.0,C,00158D000192D255
